brand,semanticVar,addrCode,f0_raw8,f1_raw8,f2_raw8,f3,f4
simens,fips140: verified code+data\n,,,,,,
simens,MD5,,,,,0xecbb46846f12de17,
simens,SHA-1,,,,,,
simens,SHA-224,,,,,,
simens,SHA-256,,,,,,
simens,SHA-384,,,,,,
simens,SHA-512,,,,,,
simens,SHA-512/224,,,,,,
simens,SHA-512/256,,,,,,
simens,SHA3-224,,,,,,
simens,SHA3-256,,,,,,
simens,SHA3-384,,,,,,
simens,SHA3-512,,,,,,
simens,MD5+SHA1,,,,,,
simens,RIPEMD-160,,,,,,
